gpt_result,location,detail1,detail2,UMLS_normalized,category,super category,super super category
within the partially collapsed right lung,right lung,,,Lung,Right lung,Lungs,Respiratory System
within the stomach,stomach,within,,Stomach structure,Stomach,Stomach,Abdominal Structures
above the level of the effusion,,,,,,,
anterior upper lumbar vertebral body,anterior upper lumbar vertebral body,,,,,,
ap window,ap window,,,,,,
apical areas on either side,apical areas on either side,,,,,,
area of bronchiectasis,,,,,,,
area of the biopsies,,,,,,,
around g-tube,,,,,,,
at the ge junction,ge junction,,,,,,
below ge junction,ge junction,below,,,,,
below the ge junction,ge junction,below,,,,,
body of the stomach,body of the stomach,,,,,,
b/l upper lobe,b/l upper lobe,,,,,,
bilateral interstitial,bilateral interstitial,,,,,,
body of the esophagus,body of the esophagus,,,,,,
both,both,,,,,,
both apical areas,both apical areas,,,Apical zone of lung,Bilateral lung,Lungs,Respiratory System
both bases,both bases,,,Basal segment of lung (C0225704),Bilateral lung,,
both lobes of the lung,both lobes of the lung,,,Structure of lobe of lung,Bilateral lobe,,
both lower lobes,both lower lobes,,,Structure of lower lobe of lung,Bilateral lobe,,
both lower lungs,both lower lungs,,,Lower zone of lung (C0559288),Bilateral lung,,
both lower zones,both lower zones,,,Lower zone of lung (C0559288),Bilateral lung,,
both lung apices,both lung apices,,,Apical zone of lung,Bilateral lung,,
both lung bases,both lung bases,,,Basal segment of lung (C0225704),Bilateral lung,,
both lung fields,both lung fields,,,Lung,Bilateral lung,,
both lungs,both lungs,,,Lung,Bilateral lung,,
both pulmonary hila,both pulmonary hila,,,,,,
both upper lobes,both upper lobes,,,Structure of upper lobe of lung,Bilateral lobe,Lungs,Respiratory System
bypass arteries,,,,,,,
diaphragmatic hiatus,diaphragmatic hiatus,,,,,,
distal body of the stomach,distal body of the stomach,,,right costophrenic sulcus,,,Right costodiaphragmatic recess
entire chest,entire chest,,,,,,
entire left,entire left,,,,,,
entire lungs,entire lungs,,,Lung,Lung,Lungs,Respiratory System
entire right lung,entire right lung,,,Lung,Right lung,Lungs,Respiratory System
expected course of the left innominate vein,expected course of the left innominate vein,,,,,,
expected course of the splenic artery,expected course of the splenic artery,,,,,,
expected location for a left-sided svc placement,expected location for a left-sided svc placement,,,,,,
expected location of the right ventricle,expected location of the right ventricle,,,,,,
expected locations,expected locations,,,,,,
first and second sternal wires,,,,,,,
fractured vertebral body,fractured vertebral body,,,,,,
from the level of the carina upwards towards the neck,from the level of the carina upwards towards the neck,,,,,,
frontal and lateral,,,,,,,
fundus and body of the stomach,fundus and body of the stomach,,,,,,
ge junction,ge junction,,,,,,
hiatus,hiatus,,,,,,
inferior most wire,,,,,,,
infrahilar portions of both lower lobes,infrahilar portions of both lower lobes,,,,,,
l and r,l and r,,,,,,
l lower lung field,l lower lung field,,,,,,
l upper lone,l upper lone,,,,,,
lateral right third and seventh ribs,lateral right ribs,third,seventh,,,,
left arm,left arm,,,,,,
left forearm,left forearm,,,,,,
left neck and upper chest,"left neck, upper chest",,,,,,
left upper lobectomy,,,,,,,
lll,lll,,,,,,
low thoracic/upper lumbar vertebral body,"low thoracic, upper lumbar vertebral body",,,,,,
lower body of the stomach,lower body of the stomach,,,,,,
lower neck,lower neck,,,,,,
lower neck area,lower neck area,,,,,,
lower thoracic vertebral body,lower thoracic vertebral body,,,,,,
lumbar vertebral body,lumbar vertebral body,,,,,,
manubrium and upper body,manubrium and upper body,,,,,,
mid body of the stomach,mid body of the stomach,,,,,,
mid rv,mid rv,,,,,,
mid shaft of the right clavicle,mid shaft of the right clavicle,,,,,,
mid thoracic vertebral body,mid thoracic vertebral body,,,,,,
mid-thoracic vertebral body,mid-thoracic vertebral body,,,,,,
mid-to-lower thoracic vertebral body,mid-to-lower thoracic vertebral body,,,,,,
most inferior sternotomy suture,,,,,,,
mostly right lung,right lung,,,right lung,Right lung,Lungs,Respi
neck,neck,,,,,,
periphery of both lungs,both lungs,periphery,,,,,
position,,,,,,,
post-pyloric,post-pyloric,,,,,,
proximal and neck vessels,proximal and neck vessels,,,,,,
proximal humeral neck,proximal humeral neck,,,,,,
proximal portion of the body of the stomach,proximal portion of the body of the stomach,,,,,,
pylorus,pylorus,,,,,,
r arm,r arm,,,,,,
r base,r base,,,,,,
r-sided,r-sided,,,,,,
ra,ra,,,,,,
ra-svc junction,ra-svc junction,,,,,,
retrocardiac lung regions,retrocardiac lung regions,,,,,,
right cp angle,right cp angle,,,right costophrenic sulcus,Right costodiaphragmatic recess,,
right femoral neck,right femoral neck,,,,,,
right glenoid fossa,right glenoid fossa,,,,,,
right hip,right hip,,,,,,
right humeral neck,right humeral neck,,,,,,
right humeral surgical neck,right humeral surgical neck,,,,,,
right ij,right ij,,,,,,
right ij sheath location,right ij sheath location,,,,,,
right lower neck,right lower neck,,,,,,
right medial basal,right medial basal,,,,,,
right medial base,right medial base,,,,,,
right medial lung apex,right medial lung apex,,,,,,
right medial lung base,right medial lung base,,,,,,
right neck,right neck,,,,,,
right supraclavicular region in the neck,right supraclavicular region in the neck,,,,,,
rll,rll,,,,,,
ruq,ruq,,,,,,
soft tissue of the neck,soft tissue of the neck,,,,,,
spinal column,spinal column,,,,,,
standard,standard,,,,,,
standard locations,standard locations,,,,,,
standard placement,standard placement,,,,,,
standard placements,standard placements,,,,,,
sternal wires,,,,,,,
stomach body,stomach body,,,,,,
superior direction junction,superior direction junction,,,,,,
superior most wire,,,,,,,
superior most wires,,,,,,,
superior third sternal wire,,,,,,,
superior to the vertebroplasty,,,,,,,
svc-ra junction,svc-ra junction,,,,,,
svc/ra junction,svc/ra junction,,,,,,
t10 vertebral body,t10 vertebral body,,,,,,
t6 vertebral body,t6 vertebral body,,,,,,
t9 vertebral body,t9 vertebral body,,,,,,
the ge junction,the ge junction,,,,,,
thoracoabdominal wall and neck,thoracoabdominal wall and neck,,,,,,
tibial plateau,tibial plateau,,,,,,
trach tube,,,,,,,
upper abdomen near the ge junction,upper abdomen,near the ge junction,,,,,
upper lumbar vertebral body,upper lumbar vertebral body,,,,,,
upper mid thoracic vertebral body,upper mid thoracic vertebral body,,,,,,
upper to mid body of the stomach,upper to mid body of the stomach,,,,,,
