raw_data,GT Entity (low-level),Cat (normalized obs.),super category,super super cat,Final_cat
inflammation,inflammation,inflammation,,,CF
influenza,influenza,influenza,,,CF
infx,infx,infection,,,CF
interstitial disease,interstitial disease,interstitial disease,,,CF
intrathoracic infection,intrathoracic infection,intrathoracic infection,infection,pathophysiologic finding,CF
intrathoracic malignancy,intrathoracic malignancy,intrathoracic malignancy,,,CF
invasive pulmonary aspergillosis,invasive pulmonary aspergillosis,invasive pulmonary aspergillosis,infection,pathophysiologic finding,CF
ipf exacerbation,ipf exacerbation,idiopathic pulmonary fibrosis exacerbation,,,CF
lung adenocarcinoma,lung adenocarcinoma,lung adenocarcinoma,,,CF
lung cancer,lung cancer,lung cancer,,,CF
lung carcinoma,lung carcinoma,lung carcinoma,,,CF
lung infection,infection,infection,infection,pathophysiologic finding,CF
lymphangioleimyomatosis,lymphangioleimyomatosis,lymphangioleimyomatosis,,,CF
lymphangitic carcinomatosis,lymphangitic carcinomatosis,lymphangitic carcinomatosis,,,CF
lymphangitic spread of carcinoma,lymphangitic spread of carcinoma,lymphangitic spread of carcinoma,,,CF
lymphangitic spread of malignancy,lymphangitic spread of malignancy,lymphangitic spread of malignancy,,,CF
malignancy,malignancy,malignancy,,,CF
malignant,malignant,malignant,,,CF
malignant involvement,malignant involvement,malignant involvement,,,CF
mediatinal infection,infection,infection,infection,pathophysiologic finding,CF
metastases,metastases,metastasis,,,CF
metastatic adenocarcinoma,metastatic adenocarcinoma,metastatic adenocarcinoma,,,CF
metastatic cancer,metastatic cancer,metastatic cancer,,,CF
metastatic disease,metastatic disease,metastatic disease,,,CF
metastatic lung cancer,metastatic lung cancer,metastatic lung cancer,,,CF
metastatic melanoma,metastatic melanoma,metastatic melanoma,,,CF
metastatic non-small cell carcinoma,metastatic non-small cell carcinoma,metastatic non-small cell carcinoma,,,CF
metastatic non-small cell lung cancer,metastatic non-small cell lung cancer,metastatic non-small cell lung cancer,,,CF
metastatic renal cell cancer,metastatic renal cell cancer,metastatic renal cell cancer,,,CF
metastatic renal cell carcinoma,metastatic renal cell carcinoma,metastatic renal cell carcinoma,,,CF
mitral regurgitation,mitral regurgitation,mitral regurgitation,,,CF
mrsa empyema,MRSA empyema,MRSA empyema,,,CF
mycobacterial infection,mycobacterial infection,mycobacterial infection,infection,pathophysiologic finding,CF
neo-esophageal/gastric emptying,neo-esophageal/gastric emptying,neo-esophageal/gastric emptying,,,CF
neoplasm,neoplasm,neoplasm,,,CF
nocardia,nocardia,nocardia,,,CF
nodal metastases,nodal metastases,nodal metastasis,,,CF
nodular infection,nodular infection,nodular infection,infection,pathophysiologic finding,CF
nodular metastases,nodular metastases,nodular metastasis,,,CF
non-small cell lung cancer,non-small cell lung cancer,non-small cell lung cancer,,,CF
nonactive tuberculosis,nonactive tuberculosis,nonactive tuberculosis,,,CF
nonsmall cell lung cancer,nonsmall cell lung cancer,non-small cell lung cancer,,,CF
nsclc,nsclc,non-small cell lung cancer,,,CF
obstructive lung disease,obstructive lung disease,obstructive lung disease,,,CF
osseous metastases,osseous metastases,osseous metastasis,,,CF
pcp,PCP,pneumocystis pneumonia,respiratory disorder,pathophysiologic finding,CF
phtn,phtn,pulmonary hypertension,,,CF
pleural metastases,pleural metastases,pleural metastasis,,,CF
pleurisy,pleurisy,pleurisy,,,CF
pneumonic infiltrate,pneumonic infiltrate,pneumonic infiltrate,,,CF
pneumonitis,pneumonitis,pneumonitis,,,CF
post-obstructive pneumonitis,post-obstructive pneumonitis,post-obstructive pneumonitis,,,CF
post-pneumonic fibrosis,post-pneumonic fibrosis,post-pneumonic fibrosis,,,CF
post-traumatic change,post-traumatic change,post-traumatic change,,,CF
postobstructive infection,postobstructive infection,post-obstructive infection,infection,pathophysiologic finding,CF
progression,progression,progression,,,CF
pulm htn,pulm htn,pulmonary hypertension,,,CF
pulmonary abscess,pulmonary abscess,pulmonary abscess,infection,pathophysiologic finding,CF
pulmonary artery hypertension,pulmonary artery hypertension,pulmonary artery hypertension,,,CF
pulmonary drug reaction,pulmonary drug reaction,pulmonary drug reaction,,,CF
pulmonary embolus,pulmonary embolus,pulmonary embolus,,,CF
pulmonary emboli,pulmonary emboli,pulmonary embolus,,,CF
pulmonary failure,pulmonary failure,pulmonary failure,,,CF
pulmonary graft-versus-host disease,pulmonary graft-versus-host disease,pulmonary graft-versus-host disease,,,CF
pulmonary infection,pulmonary infection,pulmonary infection,infection,pathophysiologic finding,CF
pulmonary lung metastases,pulmonary lung metastases,pulmonary lung metastasis,,,CF
pulmonary sarcoidosis,pulmonary sarcoidosis,pulmonary sarcoidosis,,,CF
residual infection,residual infection,residual infection,infection,pathophysiologic finding,CF
respiratory decompensation,respiratory decompensation,respiratory decompensation,,,CF
respiratory failure,respiratory failure,respiratory failure,,,CF
respiratory infections,respiratory infections,respiratory infection,infection,pathophysiologic finding,CF
right heart failure,right heart failure,right heart failure,,,CF
right lung malignancy,right lung malignancy,right lung malignancy,,,CF
right-sided heart failure,right-sided heart failure,right-sided heart failure,,,CF
sarcoid,sarcoid,sarcoid,,,CF
sarcoidosis,sarcoidosis,sarcoidosis,,,CF
secondary metastases,secondary metastases,secondary metastasis,,,CF
secondary pulmonary hypertension,secondary pulmonary hypertension,secondary pulmonary hypertension,,,CF
small cell lung cancer,small cell lung cancer,small cell lung cancer,,,CF
sob/congestive heart failure,sob/congestive heart failure,sob/congestive heart failure,,,CF
stage iv lung cancer,lung cancer,lung cancer,,,CF
superinfection,superinfection,superinfection,,,CF
systolic heart failure,systolic heart failure,systolic heart failure,,,CF
Tb,Tb,tuberculosis,,,CF
trali,TRALI,transfusion-related acute lung injury,,,CF
transfusion-related injury,transfusion-related injury,transfusion-related injury,,,CF
tuberculosis,tuberculosis,tuberculosis,,,CF
tumoral calcinosis,tumoral calcinosis,tumoral calcinosis,,,CF
vap,vap,ventilator-associated pneumonia,respiratory disorder,pathophysiologic finding,CF
wegeners granulomatosis,wegeners granulomatosis,Wegener granulomatosis,,,CF
primary lung cancer,primary lung cancer,primary lung cancer,,,CF
small cell cancer,small cell cancer,small cell cancer,,,CF
congestive heart failure findings,congestive heart failure findings,congestive heart failure,,,CF
global heart failure,global heart failure,global heart failure,,,CF
acute heart failure,heart failure,heart failure,,,CF
heart failure,heart failure,heart failure,,,CF
advanced lung cancer,advanced lung cancer,advanced lung cancer,,,CF
chronic bronchitis,chronic bronchitis,chronic bronchitis,,,CF
chronic obstructive airway disease/emphysema,chronic obstructive airway disease/emphysema,chronic obstructive airway disease/emphysema,,,CF
congestive heart failure admission,congestive heart failure,congestive heart failure,,,CF
dchf,dchf,Decompensated Chronic Heart Failure,,,CF
eosinophilic interstitial lung disease,eosinophilic interstitial lung disease,eosinophilic interstitial lung disease,,,CF
graft-versus-host disease,graft-versus-host disease,graft-versus-host disease,,,CF
hcap,hcap,health care associated pneumonia,,,CF
hfpef,hfpef,Heart Failure with Preserved Ejection Fraction,,,CF
invasive aspergillosis,invasive aspergillosis,invasive aspergillosis,,,CF
non-small cell carcinoma,non-small cell carcinoma,non-small cell carcinoma,,,CF
non-small cell lung carcinoma,non-small cell lung carcinoma,non-small cell lung carcinoma,,,CF
pulmonary htn,pulmonary htn,pulmonary hypertension,,,CF
recurrent pnas,recurrent pnas,recurrent pneumonia,,,CF
right lower lobe necrosis,right lower lobe necrosis,right low lobe necrosis,,,CF
shf,shf,systolic heart failure,,,CF
stage iv nsclc,nsclc,non-small cell lung cancer,,,CF
abnormal appearance,abnormal appearance,abnormal appearance,abnormal,normality,LF
abnormal contours,abnormal contour,abnormal contour,anatomic sub-part,anatomy,LF
abnormal contour of the right upper mediastinum,abnormal contour,abnormal contour,anatomic sub-part,anatomy,LF
abnormalities,abnormalities,abnormality,abnormal,normality,LF
abnormality,abnormality,abnormality,abnormal,normality,LF
abnormality of the heart,abnormality,abnormality,abnormal,normality,LF
abnormality of the lung parenchyma,abnormality,abnormality,abnormal,normality,LF
abnormality of the mediastinum,abnormality,abnormality,abnormal,normality,LF
abnormality of the pleura,abnormality,abnormality,abnormal,normality,LF
ac joint,ac joint,ac joint,,anatomy,LF
acute abnormalities,abnormalities,abnormality,abnormal,normality,LF
acute abnormality,abnormality,abnormality,abnormal,normality,LF
acute cardiopulmonary abnormality,abnormality,abnormality,abnormal,normality,LF
acute cardiopulmonary abnormalities,abnormalities,abnormality,abnormal,normality,LF
acute changes,changes,change,,imaging observation,LF
acute findings,findings,finding,,imaging observation,LF
acute infiltrate,infiltrate,infiltrate,enhancement,imaging observation,LF
acute infiltrates,infiltrates,infiltrate,enhancement,imaging observation,LF
acute interval changes,changes,change,,imaging observation,LF
acute lung changes,changes,change,,imaging observation,LF
additional infiltrates,infiltrates,infiltrate,enhancement,imaging observation,LF
aerated lung,lung,lung,lung zone,anatomy,LF
air distended bowel,air distended bowel,air distended bowel,,,LF
airspace opacification,opacification,opacification,opacity,procedure,LF
airspace opacities,opacities,opacity,opacity,procedure,LF
airspace opacity,opacity,opacity,opacity,procedure,LF
airway to the left lower lobe bronchus,airway,airway,cardinal body part,anatomy,LF
alveolar infiltrate,infiltrate,infiltrate,enhancement,imaging observation,LF
alveolar infiltrates,infiltrates,infiltrate,enhancement,imaging observation,LF
alveolar opacity,opacity,opacity,opacity,procedure,LF
alveolar opacities,opacities,opacity,opacity,procedure,LF
anatomic distortion of the chest cage,anatomic distortion,anatomic distortion,,,LF
aneurysmal dilatation,dilatation,dilation,architectural distortion,pathophysiologic finding,LF
anterior mediastinal lesion,lesion,lesion,enhancement,imaging observation,LF
aorta,aorta,aorta,,anatomy,LF
aortic arch,aortic arch,aortic arch,,anatomy,LF
aortic contour,contour,contour,anatomic sub-part,anatomy,LF
aortic contours,contours,contour,anatomic sub-part,anatomy,LF
aortic dilation,dilation,dilation,architectural distortion,pathophysiologic finding,LF
aortic knob,aortic knob,aortic knob,,,LF
aortic tortuosity,tortuosity,tortuosity,,,LF
aortopulmonary window,aortopulmonary window,aortopulmonary window,anatomical space,anatomy,LF
ap diameter,ap diameter,ap diameter,,,LF
ap window lesion,lesion,lesion,enhancement,imaging observation,LF
ap window node,node,lymph node,cardinal organ part,anatomy,LF
ap window nodes,nodes,lymph node,cardinal organ part,anatomy,LF
apices of the lungs,apices of the lungs,apices of the lung,lung zone,anatomy,LF
apical component,component,component,,,LF
apical opacity,opacity,opacity,opacity,procedure,LF
apical pleural thickening,thickening,thickening,growth disorder,pathophysiologic finding,LF
apparent lucency,lucency,lucency,,imaging observation,LF
appearance,appearance,appearance,,imaging observation,LF
appearances,appearances,appearance,,imaging observation,LF
appearance after surgery,appearance,appearance,,imaging observation,LF
appearance of the chest,appearance,appearance,,imaging observation,LF
appearance of the heart,appearance,appearance,,imaging observation,LF
appearance of the left postoperative lung,appearance,appearance,,imaging observation,LF
appearance of the lungs,appearance,appearance,,imaging observation,LF
appearance of the mediastinum,appearance,appearance,,imaging observation,LF
appearance of the right lower lung,appearance,appearance,,imaging observation,LF
appearance of the right lung,appearance,appearance,,imaging observation,LF
architectural distortion,architectural distortion,architectural distortion,,,LF
areas,areas,area,,,LF
areas of increased translucency,areas,area,,,LF
ascending aortic contour,contour,contour,anatomic sub-part,anatomy,LF
asymmetric appearance,appearance,appearance,,,LF
asymmetric density,density,density,,,LF
asymmetric left suprahilar opacity,opacity,opacity,opacity,procedure,LF
asymmetry,asymmetry,asymmetry,,,LF
asymmetry of the ribcage,asymmetry,asymmetry,,,LF
atelectatic lung,lung,lung,lung zone,anatomy,LF
atelectatic opacity,opacity,opacity,opacity,procedure,LF
attenuation,attenuation,attenuation,,,LF
azygos distension,distension,distension,growth disorder,pathophysiologic finding,LF
azygos vein,azygos vein,azygos vein,,,LF
azygous distention,distention,distention,growth disorder,pathophysiologic finding,LF
